CaseMonth,OnStreet,Serious_and_Fatal_Injuries
1,STATE ROUTE 104,9
1,STATE ROUTE 15A,0
1,FIRST STREET,0
1,STATE ROUTE 251,1
1,SECOND AVENUE,0
1,SECOND STREET,0
1,STATE ROUTE 31F,0
1,STATE ROUTE 33,0
1,390,0
1,THIRD STREET,0
1,STATE ROUTE 441,0
1,INTERSTATE 490,19
1,FOURTH AVENUE,0
1,FOURTH SECTION ROAD,3
1,FOURTH STREET,0
1,INTERSTATE 590,2
1,FIFTH STREET,0
1,STATE ROUTE 65,0
1,SIXTH STREET,0
1,SEVENTH STREET,1
1,EIGHTH STREET,0
1,9 MILE POINT ROAD,0
1,AAB STREET,0
1,ABBOT STREET,0
1,ABBOTSWOOD CRESCENT,0
1,ABBOTT STREET,0
1,ABERDEEN STREET,0
1,ABINGTON ROAD,0
1,ACADEMY DRIVE,0
1,ACHILLES STREET,0
1,ACKERMAN STREET,0
1,ACONBURY DRIVE,0
1,ACORN DRIVE,0
1,ACTON STREET,0
1,ADAIR ALLEY,0
1,ADAMS ROAD,0
1,ADAMS STREET,0
1,ADDISON STREET,0
1,ADEANE DRIVE EAST,0
1,ADEANE DRIVE WEST,0
1,ADELA CIRCLE,0
1,ADELAIDE STREET,0
1,ADELINE DRIVE,0
1,ADELINE ROAD,0
1,ADIRONDACK STREET,0
1,ADMIRAL PARK,0
1,ADMIRAL PIKE,0
1,ADMIRALTY WAY,0
1,ADONIS DRIVE,0
1,ADRIAN STREET,0
1,AEBERSOLD STREET,0
1,AFFINITY LANE,0
1,AFTON STREET,0
1,AGNES STREET,0
1,AHEPA CIRCLE,0
1,AINSWORTH LANE,0
1,AIR PARK DRIVE,0
1,AIRINTON DRIVE,0
1,AIRLINE DRIVE,0
1,AIRPARK DRIVE,0
1,AIRPORT ROAD,0
1,AIRPORT WAY,0
1,AJAX ROAD,0
1,AJAX STREET,0
1,AKERS MILL RISE,0
1,AKRON STREET,0
1,ALAIMO DRIVE,0
1,ALAMEDA DRIVE,0
1,ALAMEDA STREET,0
1,ALANA DRIVE,0
1,ALBANO DRIVE,0
1,ALBEMARLE STREET,0
1,ALBERT STREET,0
1,ALBERTA DRIVE,0
1,ALBERTA STREET,0
1,ALBOW PLACE,0
1,ALBURY DRIVE,0
1,ALCAZAR STREET,0
1,ALCOTT ROAD,0
1,ALDEN GLEN DRIVE,0
1,ALDEN ROAD,0
1,ALDERBROOK TRAIL,0
1,ALDERN PLACE,0
1,ALDINE STREET,0
1,ALDRICH ROAD,0
1,ALDWICK RISE,0
1,ALECIA DRIVE,0
1,ALETA DRIVE,0
1,ALEXANDER STREET,1
1,ALEXIS STREET,0
1,ALFIE DRIVE,0
1,ALFONSO DRIVE,0
1,ALFORD STREET,0
1,ALFRED AVENUE,0
1,ALGER DRIVE,0
1,ALHAMBRA DRIVE,0
1,ALHAMBRA ROAD,0
1,ALICE LANE,0
1,ALICE STREET,0
1,ALINA STREET,0
1,ALLANDALE AVENUE,0
1,ALLANDALE DRIVE,0
1,ALLANDALE STREET,0
1,ALLEGANY DRIVE,0
1,ALLEN PARKWAY,0
1,ALLEN STREET,0
1,ALLENS CREEK ROAD,0
1,ALLERTON STREET,0
1,ALLIANCE AVENUE,0
1,ALLIANCE DRIVE,0
1,ALLIANCE STREET,0
1,ALLIED WAY,0
1,ALLMEROTH STREET,0
1,ALLWOOD DRIVE,0
1,ALMAY ROAD,0
1,ALMIRA STREET,0
1,ALONZO STREET,0
1,ALPHA STREET,0
1,ALPHONSE STREET,0
1,ALPINE DRIVE,0
1,ALPINE KNOLL,0
1,ALPINE KNOLL PIKE,0
1,ALPINE ROAD,0
1,ALPINE STREET,0
1,ALTA VISTA DRIVE,0
1,ALTON WAY,0
1,ALUMNI ROAD,0
1,ALVANAR ROAD,0
1,ALVERSTONE WAY,0
1,ALVIN PLACE,0
1,ALVORD STREET,0
1,AMANDA DRIVE,0
1,AMANN ROAD,0
1,AMBASSADOR DRIVE,0
1,AMBER HILL DRIVE,0
1,AMBER PLACE,0
1,AMBERLY CIRCLE,0
1,AMBERWOOD PLACE,0
1,AMBROSE STREET,0
1,AMBUSH LANE,0
1,AMERIGE PARK,0
1,AMES STREET,1
1,AMHERST STREET,0
1,AMITY STREET,0
1,AMPOR BEACH ROAD,0
1,AMSDEN DRIVE,0
1,AMSTERDAM DRIVE,0
1,AMSTERDAM ROAD,0
1,ANCHOR TERRACE,0
1,ANDERSON AVENUE,0
1,ANDERSON STREET,0
1,ANDES STREET,0
1,ANDIRON LANE,0
1,ANDONY LANE,0
1,ANDOVER STREET,0
1,ANDREA LANE,0
1,ANDREWS MEMORIAL DRIVE,0
1,ANDREWS STREET,0
1,ANDY LANE,0
1,ANEMONE LANE,0
1,ANGELS PATH,0
1,ANGELUS DRIVE,0
1,ANGLE STREET,0
1,ANGORA DRIVE,0
1,ANITAS LANE,0
1,ANN MARIE DRIVE,0
1,ANNIE LANE,0
1,ANSON PLACE,0
1,ANTHONY CIRCLE,0
1,ANTHONY STREET,0
1,ANTLERS DRIVE,0
1,ANTOINETTE DRIVE,0
1,ANTONINA LANE,0
1,ANYTRELL DRIVE,0
1,APACHE TRAIL,0
1,APOLLO DRIVE,0
1,APPIAN DRIVE,0
1,APPLE BLOSSOM LANE,0
1,APPLE CREEK LANE,0
1,APPLE GROVE CIRCLE,0
1,APPLE HOLLOW LANE,0
1,APPLE ORCHARD LANE,0
1,APPLE STREET,0
1,APPLEGROVE DRIVE,0
1,APPLETON STREET,2
1,APPLETREE ROAD,0
1,APPLEWOOD DRIVE,0
1,APPLEWOOD LANE,0
1,AQUEDUCT STREET,0
1,ARAGON AVENUE,0
1,ARBOR COURT,0
1,ARBOR DRIVE,0
1,ARBORDALE AVENUE,0
1,ARBORWAY LANE,0
1,ARBORWOOD CIRCLE,0
1,ARBORWOOD CRESCENT,0
1,ARBORWOOD LANE,0
1,ARBUTUS STREET,0
1,ARCADIA PARKWAY,0
1,ARCH STREET,0
1,ARCHER DRIVE,0
1,ARCHER ROAD,2
1,ARCHER STREET,0
1,ARDELLA STREET,0
1,ARDMORE STREET,0
1,ARGO PARK,0
1,ARGO PIKE,0
1,ARGONNE STREET,0
1,ARGYLE STREET,0
1,ARIA LANE,0
1,ARIEL PARK,0
1,ARKLOW STREET,0
1,ARLIDGE DRIVE,0
1,ARLINGTON STREET,0
1,ARMBRUSTER ROAD,0
1,ARMSTRONG AVENUE,0
1,ARMSTRONG ROAD,0
1,ARNETT BOULEVARD,0
1,ARNOLD PARK,0
1,ARNOLD PIKE,0
1,ARONICA DRIVE,0
1,ARROWHEAD DRIVE,0
1,ARROWHEAD ROAD,0
1,ARROWHEAD WAY,0
1,ARROWHEAD WAY NORTH,0
1,ARROWHEAD WAY SOUTH,0
1,ARTHUR STREET,0
1,ARTHURIAN WAY,0
