CaseYear,OnStreet,Serious_and_Fatal_Injuries
2012,STATE ROUTE 104,12
2012,STATE ROUTE 15A,0
2012,FIRST STREET,0
2012,STATE ROUTE 251,0
2012,SECOND AVENUE,0
2012,SECOND STREET,0
2012,STATE ROUTE 31F,0
2012,STATE ROUTE 33,3
2012,390,0
2012,THIRD STREET,0
2012,STATE ROUTE 441,2
2012,INTERSTATE 490,16
2012,FOURTH AVENUE,0
2012,FOURTH SECTION ROAD,3
2012,FOURTH STREET,0
2012,INTERSTATE 590,8
2012,FIFTH STREET,0
2012,STATE ROUTE 65,1
2012,SIXTH STREET,0
2012,SEVENTH STREET,0
2012,EIGHTH STREET,0
2012,9 MILE POINT ROAD,0
2012,AAB STREET,0
2012,ABBOT STREET,0
2012,ABBOTSWOOD CRESCENT,0
2012,ABBOTT STREET,0
2012,ABERDEEN STREET,0
2012,ABINGTON ROAD,0
2012,ACADEMY DRIVE,0
2012,ACHILLES STREET,0
2012,ACKERMAN STREET,0
2012,ACONBURY DRIVE,0
2012,ACORN DRIVE,0
2012,ACTON STREET,0
2012,ADAIR ALLEY,0
2012,ADAMS ROAD,0
2012,ADAMS STREET,1
2012,ADDISON STREET,0
2012,ADEANE DRIVE EAST,0
2012,ADEANE DRIVE WEST,0
2012,ADELA CIRCLE,0
2012,ADELAIDE STREET,0
2012,ADELINE DRIVE,0
2012,ADELINE ROAD,0
2012,ADIRONDACK STREET,0
2012,ADMIRAL PARK,0
2012,ADMIRAL PIKE,0
2012,ADMIRALTY WAY,0
2012,ADONIS DRIVE,0
2012,ADRIAN STREET,0
2012,AEBERSOLD STREET,0
2012,AFFINITY LANE,0
2012,AFTON STREET,0
2012,AGNES STREET,0
2012,AHEPA CIRCLE,0
2012,AINSWORTH LANE,0
2012,AIR PARK DRIVE,0
2012,AIRINTON DRIVE,1
2012,AIRLINE DRIVE,0
2012,AIRPARK DRIVE,0
2012,AIRPORT ROAD,0
2012,AIRPORT WAY,0
2012,AJAX ROAD,0
2012,AJAX STREET,0
2012,AKERS MILL RISE,0
2012,AKRON STREET,0
2012,ALAIMO DRIVE,0
2012,ALAMEDA DRIVE,0
2012,ALAMEDA STREET,0
2012,ALANA DRIVE,0
2012,ALBANO DRIVE,0
2012,ALBEMARLE STREET,0
2012,ALBERT STREET,0
2012,ALBERTA DRIVE,0
2012,ALBERTA STREET,0
2012,ALBOW PLACE,0
2012,ALBURY DRIVE,0
2012,ALCAZAR STREET,0
2012,ALCOTT ROAD,0
2012,ALDEN GLEN DRIVE,0
2012,ALDEN ROAD,0
2012,ALDERBROOK TRAIL,0
2012,ALDERN PLACE,0
2012,ALDINE STREET,0
2012,ALDRICH ROAD,0
2012,ALDWICK RISE,0
2012,ALECIA DRIVE,0
2012,ALETA DRIVE,0
2012,ALEXANDER STREET,3
2012,ALEXIS STREET,0
2012,ALFIE DRIVE,0
2012,ALFONSO DRIVE,0
2012,ALFORD STREET,0
2012,ALFRED AVENUE,0
2012,ALGER DRIVE,0
2012,ALHAMBRA DRIVE,1
2012,ALHAMBRA ROAD,0
2012,ALICE LANE,0
2012,ALICE STREET,0
2012,ALINA STREET,0
2012,ALLANDALE AVENUE,0
2012,ALLANDALE DRIVE,0
2012,ALLANDALE STREET,0
2012,ALLEGANY DRIVE,0
2012,ALLEN PARKWAY,0
2012,ALLEN STREET,0
2012,ALLENS CREEK ROAD,0
2012,ALLERTON STREET,0
2012,ALLIANCE AVENUE,0
2012,ALLIANCE DRIVE,0
2012,ALLIANCE STREET,0
2012,ALLIED WAY,0
2012,ALLMEROTH STREET,0
2012,ALLWOOD DRIVE,0
2012,ALMAY ROAD,0
2012,ALMIRA STREET,0
2012,ALONZO STREET,0
2012,ALPHA STREET,0
2012,ALPHONSE STREET,0
2012,ALPINE DRIVE,0
2012,ALPINE KNOLL,0
2012,ALPINE KNOLL PIKE,0
2012,ALPINE ROAD,0
2012,ALPINE STREET,0
2012,ALTA VISTA DRIVE,0
2012,ALTON WAY,0
2012,ALUMNI ROAD,0
2012,ALVANAR ROAD,0
2012,ALVERSTONE WAY,0
2012,ALVIN PLACE,0
2012,ALVORD STREET,0
2012,AMANDA DRIVE,0
2012,AMANN ROAD,0
2012,AMBASSADOR DRIVE,0
2012,AMBER HILL DRIVE,0
2012,AMBER PLACE,0
2012,AMBERLY CIRCLE,0
2012,AMBERWOOD PLACE,0
2012,AMBROSE STREET,0
2012,AMBUSH LANE,0
2012,AMERIGE PARK,0
2012,AMES STREET,0
2012,AMHERST STREET,0
2012,AMITY STREET,0
2012,AMPOR BEACH ROAD,0
2012,AMSDEN DRIVE,0
2012,AMSTERDAM DRIVE,0
2012,AMSTERDAM ROAD,0
2012,ANCHOR TERRACE,0
2012,ANDERSON AVENUE,0
2012,ANDERSON STREET,0
2012,ANDES STREET,0
2012,ANDIRON LANE,0
2012,ANDONY LANE,0
2012,ANDOVER STREET,0
2012,ANDREA LANE,0
2012,ANDREWS MEMORIAL DRIVE,1
2012,ANDREWS STREET,0
2012,ANDY LANE,0
2012,ANEMONE LANE,0
2012,ANGELS PATH,0
2012,ANGELUS DRIVE,2
2012,ANGLE STREET,0
2012,ANGORA DRIVE,0
2012,ANITAS LANE,0
2012,ANN MARIE DRIVE,0
2012,ANNIE LANE,0
2012,ANSON PLACE,0
2012,ANTHONY CIRCLE,0
2012,ANTHONY STREET,0
2012,ANTLERS DRIVE,0
2012,ANTOINETTE DRIVE,0
2012,ANTONINA LANE,0
2012,ANYTRELL DRIVE,0
2012,APACHE TRAIL,0
2012,APOLLO DRIVE,0
2012,APPIAN DRIVE,0
2012,APPLE BLOSSOM LANE,0
2012,APPLE CREEK LANE,0
2012,APPLE GROVE CIRCLE,0
2012,APPLE HOLLOW LANE,0
2012,APPLE ORCHARD LANE,0
2012,APPLE STREET,0
2012,APPLEGROVE DRIVE,0
2012,APPLETON STREET,0
2012,APPLETREE ROAD,0
2012,APPLEWOOD DRIVE,0
2012,APPLEWOOD LANE,0
2012,AQUEDUCT STREET,0
2012,ARAGON AVENUE,0
2012,ARBOR COURT,0
2012,ARBOR DRIVE,0
2012,ARBORDALE AVENUE,0
2012,ARBORWAY LANE,0
2012,ARBORWOOD CIRCLE,0
2012,ARBORWOOD CRESCENT,0
2012,ARBORWOOD LANE,0
2012,ARBUTUS STREET,0
2012,ARCADIA PARKWAY,0
2012,ARCH STREET,0
2012,ARCHER DRIVE,0
2012,ARCHER ROAD,0
2012,ARCHER STREET,0
2012,ARDELLA STREET,0
2012,ARDMORE STREET,0
2012,ARGO PARK,0
2012,ARGO PIKE,0
2012,ARGONNE STREET,0
2012,ARGYLE STREET,0
2012,ARIA LANE,0
2012,ARIEL PARK,0
2012,ARKLOW STREET,0
2012,ARLIDGE DRIVE,0
2012,ARLINGTON STREET,0
2012,ARMBRUSTER ROAD,0
2012,ARMSTRONG AVENUE,0
2012,ARMSTRONG ROAD,0
2012,ARNETT BOULEVARD,1
2012,ARNOLD PARK,0
2012,ARNOLD PIKE,0
2012,ARONICA DRIVE,0
2012,ARROWHEAD DRIVE,0
2012,ARROWHEAD ROAD,0
2012,ARROWHEAD WAY,0
2012,ARROWHEAD WAY NORTH,0
2012,ARROWHEAD WAY SOUTH,0
2012,ARTHUR STREET,0
2012,ARTHURIAN WAY,0
2012,ARVINE HEIGHTS,0
2012,ARVINE HTS,0
2012,ARVINE PARK,0
2012,ASBURY STREET,0
2012,ASCOT DRIVE,0
2012,ASCOTT LANE,0
2012,ASHBOURNE ROAD,0
2012,ASHBROOK CIRCLE,0
2012,ASHLAND OAKS CIRCLE,0
2012,ASHLAND STREET,0
2012,ASHLEY DRIVE,0
2012,ASHWOOD DRIVE,0
2012,ASHWOOD KNOLL,0
2012,ASHWOOD LANE,0
2012,ASPEN DRIVE,0
2012,ASPEN LOOK DRIVE,0
2012,ASSEMBLY DRIVE,0
2012,ASTER STREET,0
2012,ASTON VILLA,0
2012,ASTOR DRIVE,0
2012,ASTRONAUT DRIVE,0
2012,ATALANTIC AVENUE,0
2012,ATCHINSON DRIVE,0
2012,ATHENA DRIVE,0
2012,ATHENS STREET,0
2012,ATKINSON STREET,0
2012,ATLANTIC AVENUE,1
2012,ATLAS STREET,0
2012,ATLEE DRIVE,0
2012,ATTLEBORO ROAD,0
2012,ATTRIDGE ROAD,1
2012,ATWELL STREET,0
